,Unnamed: 0,Name,Distance,Mass,Radius,Gravity
0,0,SDSS J000013.54+255418.6 [de],46.1,0.04582022400000001,0.10173537,1214.200056936461
1,1,2MASS J00040288-6410358,192.0,0.018137172,0.16750368999999998,177.29553270309611
2,2,2MASS J00242463-0158201,37.7,0.075412452,0.11201167,1648.5172507306947
3,3,2MASS J00274197+0503417,236.0,0.029592227999999998,0.14797871999999998,370.6432628229708
4,4,2MASSW J0030300-145033,87.2,0.051547752,0.10070774,1393.9943359838123
5,5,2MASS J00332386-1521309 [de],131.0,0.027683052000000003,0.14695108999999998,351.59713187176385
6,6,2MASS J00345157+0523050,31.0,0.040092696,0.09659721999999997,1178.454947179717
7,7,2MASS 0036+1821,28.6,0.040092696,0.09659721999999997,1178.454947179717
8,8,2MASSW J0045214+163445,57.0,0.021955524,0.16647606,217.2787267524544
9,9,WISEP J004701.06+680352.1 [fr],40.0,0.011455056000000002,0.1335919,176.04104671648304
10,10,2MASS J00501994-3322402 [de],34.0,0.03818352,0.09659721999999997,1122.3380449330639
11,11,2MASS J00584253-0651239 [de],96.0,0.027683052000000003,0.14695108999999998,351.59713187176385
12,12,2MASSI J0103320+193536,70.0,0.049638576,0.10070774,1342.3649161325598
13,13,SDSSp J010752.33+004156.1 [de],51.0,0.049638576,0.10070774,1342.3649161325598
14,14,2MASSI J0117474-340325 [de],163.0,0.01909176,0.16647606,188.93802326300383
15,15,2MASS J01415823-4633574 [de],130.0,0.01909176,0.16544843,191.292368446984
16,16,SDSS J015141.69+124429.6,70.0,0.04486563599999999,0.09968011,1238.4366334263516
17,17,SDSS J020742.48+000056.2 [de],111.0,0.04486563599999999,0.09968011,1238.4366334263516
18,18,2MASS J02103857-3015313,101.0,0.01431882,0.15722739,158.86484308965376
19,19,2MASS J02340093-6442068,155.0,0.01909176,0.16647606,188.93802326300383
20,20,2MASS J02411151-0326587 [de],152.0,0.025773876,0.14489582999999998,336.70141347991915
21,21,2MASS J02431371−2453298,35.0,0.031501404000000004,0.10173537,834.762539143817
22,22,LP 771-21,53.0,0.074457864,0.11098404,1657.9311541328584
23,23,Teegarden's star,12.578,0.07636704,0.13050900999999998,1229.7078510792421
24,24,2MASS J02535980+3206373,184.0,0.06204822,0.1952497,446.40140770557866
